"foldchange","rawpvalue","probename","adjpvalue","expression"
-2.31743775627026,1.49730227331791e-05,"C6",4.82469051603488,"Downregulated"
-1.71617162047768,1.56495044222391e-07,"TPSD1",6.80549941083924,"Downregulated"
-1.17090909699219,0.0402239956253702,"NUP107",1.39551479122658,"Downregulated"
-1.74008794362822,0.0113786257929612,"SLC22A2",1.94391018491557,"Downregulated"
-2.17953548348944,4.63254638826875e-05,"PLA2G2D",4.33418022315461,"Downregulated"
-1.78419815853067,9.66804884468963e-08,"CRYGD",7.01466116412645,"Downregulated"
-2.01321783809155,0.00186610922921624,"NPPB",2.72906293922965,"Downregulated"
-1.52573281746933,0.0125781970655616,"SEC61G",1.90038160536073,"Downregulated"
-1.07217157638846,0.010853604522303,"LANCL2",1.96442600705271,"Downregulated"
-1.11699250014423,0.00238429380358807,"TRPM1",2.62264022988181,"Downregulated"
-1.80887831719878,0.0116989340209114,"MDM2",1.93185370833305,"Downregulated"
-1.77048856231723,0.000722120347041639,"FCRL5",3.14139041780352,"Downregulated"
-1.61992216239218,0.0399440222162454,"IL24",1.39854820540503,"Downregulated"
-1.71551659407111,0.00246944088338962,"CPA3",2.60740136607056,"Downregulated"
-1.99315685693242,0.0408788311638229,"TBXT",1.38850153034788,"Downregulated"
-1.09781769743803,0.0145445988671469,"NNMT",1.83729825187907,"Downregulated"
-1.60338691801921,0.023464577642221,"CXCL10",1.62958725859633,"Downregulated"
-1.72128668328843,0.00688966892839821,"CXCL11",2.16180164689126,"Downregulated"
-1.273632712214,1.08651971268381e-07,"TPSAB1",6.96396238988452,"Downregulated"
-2.2560615762888,0.00182030775647432,"SAA1",2.73985518034495,"Downregulated"
-1.50826160678716,0.00904236713514417,"SLC35E3",2.0437178638655,"Downregulated"
-1.05210551004464,0.0035619473073858,"ENSG00000183169",2.44831250943225,"Downregulated"
-1.24447848426729,0.0111785187297919,"GDF3",1.9516157411811,"Downregulated"
-2.48223675402053,0.000964066975156811,"PLA2G2A",3.01589279396994,"Downregulated"
-1.55297431814722,0.0106528555744321,"VTRNA1.2",1.97253396086498,"Downregulated"
-1.22170489135563,0.0376795227213022,"ENSG00000204528",1.42389460696243,"Downregulated"
-2.12620205781134,0.0135121232940775,"PCDHA7",1.86927640061191,"Downregulated"
-3.5826562243761,0.0218767825036671,"IGLV2.23",1.66001655087854,"Downregulated"
-1.61439104304178,0.0340963342111626,"IGLV3.21",1.46729231066858,"Downregulated"
-1.87607556189345,0.04156986199994,"IGLV3.19",1.38122141722494,"Downregulated"
-2.22708644808725,0.00723600225623141,"IGLV2.11",2.14050130639643,"Downregulated"
-1.74362332480161,0.0330478703653791,"ENSG00000211673",1.48085652160539,"Downregulated"
-1.45794062464803,0.0288371256429525,"IGLC2",1.54004803034706,"Downregulated"
-1.82735162750142,0.0243337495015894,"TRBV20.1",1.61379096700887,"Downregulated"
-1.07846348455575,0.00115682110581868,"TRAV12.3",2.936733796418,"Downregulated"
-1.74985464539016,0.0122649676126586,"IGHG1",1.91133359427066,"Downregulated"
-1.48918320354015,0.0431609845189474,"IGHV4.39",1.36490865744905,"Downregulated"
-2.16182396276943,0.0416290256231767,"IGHV5.51",1.38060375417279,"Downregulated"
-1.82482426236584,0.00121479748400676,"ENSG00000213355",2.9154961162295,"Downregulated"
-1.11936453118624,0.00519528595292823,"HSD11B1.AS1",2.28439054351372,"Downregulated"
-1.99922779015025,9.48916087496682e-06,"LINC01508",5.02277219046883,"Downregulated"
-1.22667982508344,0.00540252242505568,"KRT8P39",2.26740342175009,"Downregulated"
-1.06078608572594,0.00698568150140198,"RBPMS.AS1",2.1557912190615,"Downregulated"
-1.99545598469998,0.00120211066019534,"ENSG00000256325",2.92005555155117,"Downregulated"
-1.67151040092362,0.0408443710671993,"ENSG00000256678",1.38886778693812,"Downregulated"
-1.43657581450052,0.000130632996188803,"MGAM",3.88394711209023,"Downregulated"
-3.33207050193418,0.00772966637274617,"ENSG00000259828",2.11183925066152,"Downregulated"
-1.63398500028846,0.0155930226483829,"ENSG00000259907",1.80706969031005,"Downregulated"
-1.86797000057693,0.000520938740250304,"ENSG00000262267",3.28321334452291,"Downregulated"
-1.02007681363785,6.62761076903328e-05,"LOC105371773",4.17864300505426,"Downregulated"
-1.82622534338573,0.0313443916603018,"IGLV2.8",1.50384015463784,"Downregulated"
-1.48697557700136,0.0049228972070697,"PRR33",2.3077792324516,"Downregulated"
-1.25984160367746,0.023473165986431,"ENSG00000285534",1.62942833018382,"Downregulated"
-1.17520381871047,0.00329383102400682,"ENSG00000286404",2.48229868422629,"Downregulated"
-1.68019993317571,0.0111943360251702,"ENSG00000287372",1.9510016608305,"Downregulated"
-1.31397112166619,0.00288817674818047,"ENSG00000287849",2.53937623270536,"Downregulated"
-2.31774292711645,0.019716091818608,"ENSG00000288525",1.70517916798628,"Downregulated"
